name,subGroup,value,year,tcolour
Thatcher,139 months in office,0,13,#00539f
Wilson,94 months in office,0,13,#ee3224
Attlee,76 months in office,1,13,#ee3224
Baldwin,87 months in office,1,13,#00539f
Callaghan,37 months in office,1,13,#ee3224
Cameron,75 months in office,1,13,#00539f
Churchill,104 months in office,1,13,#00539f
Major,78 months in office,1,13,#00539f
Blair,122 months in office,2,13,#ee3224
May,34 months in office,2,13,#00539f
Brown,35 months in office,3,13,#ee3224
Lloyd George,71 months in office,3,13,#ffb703
Chamberlain,36 months in office,4,13,#00539f
Macmillan,82 months in office,4,13,#00539f
Asquith,105 months in office,0,14,#ffb703
Eden,22 months in office,0,14,#00539f
Macdonald,82 months in office,0,14,#ee3224
Thatcher,139 months in office,0,14,#00539f
Wilson,94 months in office,0,14,#ee3224
Attlee,76 months in office,1,14,#ee3224
Baldwin,87 months in office,1,14,#00539f
Balfour,41 months in office,1,14,#00539f
Callaghan,37 months in office,1,14,#ee3224
Cameron,75 months in office,1,14,#00539f
Churchill,104 months in office,1,14,#00539f
Heath,45 months in office,1,14,#00539f
Major,78 months in office,1,14,#00539f
Blair,122 months in office,2,14,#ee3224
May,34 months in office,2,14,#00539f
Brown,35 months in office,3,14,#ee3224
Chamberlain,36 months in office,4,14,#00539f
Lloyd George,71 months in office,4,14,#ffb703
Macmillan,82 months in office,4,14,#00539f
Asquith,105 months in office,0,15,#ffb703
Eden,22 months in office,0,15,#00539f
Macdonald,82 months in office,0,15,#ee3224
Thatcher,139 months in office,0,15,#00539f
Wilson,94 months in office,0,15,#ee3224
Attlee,76 months in office,1,15,#ee3224
Baldwin,87 months in office,1,15,#00539f
Callaghan,37 months in office,1,15,#ee3224
Cameron,75 months in office,1,15,#00539f
Churchill,104 months in office,1,15,#00539f
Heath,45 months in office,1,15,#00539f
Major,78 months in office,1,15,#00539f
Blair,122 months in office,2,15,#ee3224
May,34 months in office,2,15,#00539f
Chamberlain,36 months in office,4,15,#00539f
Lloyd George,71 months in office,4,15,#ffb703
Macmillan,82 months in office,4,15,#00539f
Brown,35 months in office,5,15,#ee3224
Balfour,41 months in office,6,15,#00539f
Asquith,105 months in office,0,16,#ffb703
Eden,22 months in office,0,16,#00539f
Macdonald,82 months in office,0,16,#ee3224
Thatcher,139 months in office,0,16,#00539f
Wilson,94 months in office,0,16,#ee3224
Attlee,76 months in office,1,16,#ee3224
Baldwin,87 months in office,1,16,#00539f
Callaghan,37 months in office,1,16,#ee3224
Cameron,75 months in office,1,16,#00539f
Churchill,104 months in office,1,16,#00539f
Major,78 months in office,1,16,#00539f
Blair,122 months in office,2,16,#ee3224
Heath,45 months in office,2,16,#00539f
Chamberlain,36 months in office,4,16,#00539f
Lloyd George,71 months in office,4,16,#ffb703
Macmillan,82 months in office,4,16,#00539f
Brown,35 months in office,5,16,#ee3224
May,34 months in office,5,16,#00539f
Balfour,41 months in office,6,16,#00539f
Asquith,105 months in office,0,17,#ffb703
Eden,22 months in office,0,17,#00539f
Macdonald,82 months in office,0,17,#ee3224
Thatcher,139 months in office,0,17,#00539f
Attlee,76 months in office,1,17,#ee3224
Baldwin,87 months in office,1,17,#00539f
Callaghan,37 months in office,1,17,#ee3224
Cameron,75 months in office,1,17,#00539f
Churchill,104 months in office,1,17,#00539f
Major,78 months in office,1,17,#00539f
Wilson,94 months in office,1,17,#ee3224
Blair,122 months in office,2,17,#ee3224
Heath,45 months in office,2,17,#00539f
Macmillan,82 months in office,4,17,#00539f
Brown,35 months in office,5,17,#ee3224
Chamberlain,36 months in office,5,17,#00539f
Lloyd George,71 months in office,5,17,#ffb703
May,34 months in office,5,17,#00539f
Balfour,41 months in office,6,17,#00539f
Asquith,105 months in office,0,18,#ffb703
Eden,22 months in office,0,18,#00539f
Macdonald,82 months in office,0,18,#ee3224
Thatcher,139 months in office,0,18,#00539f
Attlee,76 months in office,1,18,#ee3224
Baldwin,87 months in office,1,18,#00539f
Callaghan,37 months in office,1,18,#ee3224
Churchill,104 months in office,1,18,#00539f
Major,78 months in office,1,18,#00539f
Wilson,94 months in office,1,18,#ee3224
Cameron,75 months in office,2,18,#00539f
Heath,45 months in office,2,18,#00539f
Blair,122 months in office,3,18,#ee3224
Macmillan,82 months in office,4,18,#00539f
Brown,35 months in office,5,18,#ee3224
Chamberlain,36 months in office,5,18,#00539f
Lloyd George,71 months in office,5,18,#ffb703
Balfour,41 months in office,6,18,#00539f
May,34 months in office,6,18,#00539f
Asquith,105 months in office,0,19,#ffb703
Macdonald,82 months in office,0,19,#ee3224
Thatcher,139 months in office,0,19,#00539f
Attlee,76 months in office,1,19,#ee3224
Baldwin,87 months in office,1,19,#00539f
Callaghan,37 months in office,1,19,#ee3224
Churchill,104 months in office,1,19,#00539f
Eden,22 months in office,1,19,#00539f
